Quality,#1 ID,#2 ID,#1 String,#2 String,Hamming,MLIPNS,JaroWinkler,Jaro,StrCmp95,Jaccard,Sorensen,Tversky,Overlap,Cosine,RatcliffObershelp,EntropyNCD,BZ2NCD,LZMANCD,ZLIBNCD,Prefix,Postfix,NormalizedLevenshtein,MetricLCS,NGram
1,1089874,1089925,PCCW's chief operating officer  Mike Butcher  and Alex Arena  the chief financial officer  will report directly to Mr So.,Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will report to So.,0.18181818181818177,0,0.7556037833294941,0.7556037833294941,0.21569302652190359,0.7348484848484849,0.8471615720524017,0.7348484848484849,0.8981481481481481,0.8485299410817226,0.6026200873362445,0.9846607938122628,0.4818181818181818,0.6623376623376623,0.5742574257425743,0,4,0.5867768595041323,0.3223140495867769,0.41735537190082644
1,3019446,3019327,The world's two largest automakers said their U.S. sales declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected.,Domestic sales at both GM and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash.,0.039548022598870025,0,0.7505845888261143,0.7505845888261143,0.23144942612103625,0.7552083333333334,0.8605341246290801,0.7552083333333334,0.90625,0.8616311229815201,0.5756676557863502,0.9776554523392778,0.4137931034482759,0.6494845360824743,0.4921875,0,1,0.4689265536723164,0.4067796610169492,0.5508474576271186
1,1945605,1945824,According to the federal Centers for Disease Control and Prevention (news - web sites)  there were 19 reported cases of measles in the United States in 2002.,The Centers for Disease Control and Prevention said there were 19 reported cases of measles in the United States in 2002.,0.04458598726114649,0,0.779800026904833,0.779800026904833,0.20866452597778595,0.759493670886076,0.8633093525179856,0.759493670886076,0.9917355371900827,0.8706402376010424,0.8489208633093526,0.9838487276305451,0.5460992907801419,0.7849462365591398,0.7222222222222222,0,70,0.7515923566878981,0.24840764331210186,0.25477707006369427
0,1430402,1430329,A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night.,A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast Monday night.,0.3801169590643275,0,0.8997814018614613,0.8329690031024354,0.09585329050325342,0.7932960893854749,0.8847352024922118,0.7932960893854749,0.9466666666666667,0.886634568297337,0.7912772585669782,0.9930069044136154,0.547945205479452,0.7575757575757576,0.6412213740458015,57,14,0.672514619883041,0.23976608187134507,0.3362573099415205
0,3354381,3354396,The company didn't detail the costs of the replacement and repairs.,But company officials expect the costs of the replacement work to run into the millions of dollars.,0.11111111111111116,0,0.7001266230529749,0.7001266230529749,0.27598436621065414,0.580952380952381,0.7349397590361446,0.580952380952381,0.9104477611940298,0.7489879598284865,0.5783132530120482,0.9753756130939055,0.45744680851063835,0.6119402985074627,0.4698795180722891,0,3,0.48484848484848486,0.4949494949494949,0.5252525252525253
1,1390995,1391183,The settling companies would also assign their possible claims against the underwriters to the investor plaintiffs  he added.,Under the agreement  the settling companies will also assign their potential claims against the underwriters to the investors  he added.,0.06617647058823528,0,0.7769352088661551,0.7769352088661551,0.2055246354952237,0.7876712328767124,0.8812260536398467,0.7876712328767124,0.92,0.8820097371744761,0.8199233716475096,0.9795791321727978,0.5357142857142857,0.8024691358024691,0.71,0,12,0.6985294117647058,0.21323529411764708,0.3125
0,2201401,2201285,Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation.,Air Commodore John Quaife said the security operation was unprecedented.,0.15957446808510634,0,0.8436354905437352,0.7393924842395587,0.14891548463356974,0.6274509803921569,0.7710843373493976,0.6274509803921569,0.8888888888888888,0.7779466213221042,0.5180722891566265,0.9729551482844435,0.5,0.582089552238806,0.5121951219512195,14,1,0.4148936170212766,0.5106382978723405,0.5957446808510638
1,2453843,2453998,A Washington County man may have the countys first human case of West Nile virus  the health department said Friday.,The countys first and only human case of West Nile this year was confirmed by health officials on Sept. 8.,0.09482758620689657,0,0.7305284464685897,0.7305284464685897,0.24440918340508588,0.6946564885496184,0.8198198198198198,0.6946564885496184,0.8584905660377359,0.8206528178804483,0.5135135135135135,0.9826244807807417,0.45614035087719296,0.6363636363636364,0.48453608247422686,0,1,0.31896551724137934,0.4913793103448276,0.7068965517241379
1,1756630,1756502,Moseley and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday.,General Moseley and a senior aide presented their assessments at an internal briefing for American and allied military officers at Nellis Air Force Base in Nevada on Thursday.,0.12,0,0.725688013136289,0.725688013136289,0.2660834154351396,0.639344262295082,0.78,0.639344262295082,0.936,0.7910643824258915,0.7,0.9860937179502328,0.3931034482758621,0.6701030927835052,0.5426356589147288,0,13,0.5428571428571429,0.4,0.4685714285714286
0,938878,938896,The broader Standard & Poor's 500 Index <.SPX> was 0.46 points lower  or 0.05 percent  at 997.02.,The technology-laced Nasdaq Composite Index .IXIC was up 7.42 points  or 0.45 percent  at 1 653.44.,0.2727272727272727,0,0.6929973842839258,0.6929973842839258,0.17415648618578627,0.5934959349593496,0.7448979591836735,0.5934959349593496,0.7525773195876289,0.7449367428225295,0.6224489795918368,0.9580402824368451,0.45945945945945943,0.5616438356164384,0.4020618556701031,4,1,0.48484848484848486,0.38383838383838387,0.5252525252525253
1,2357153,2357114,Consumers would still have to get a descrambling security card from their cable operator to plug into the set.,To watch pay television  consumers would insert into the set a security card provided by their cable service.,0.0636363636363636,0,0.7449160532327664,0.7449160532327664,0.22685387941487878,0.7380952380952381,0.8493150684931506,0.7380952380952381,0.8532110091743119,0.8493239228576349,0.547945205479452,0.9844002229973856,0.3980582524271845,0.6438356164383562,0.5,0,1,0.23636363636363633,0.44545454545454544,0.7863636363636364
1,2760337,2760373,The increase reflects lower credit losses and favorable interest rates.,The gain came as a result of fewer credit losses and lower interest rates.,0.10810810810810811,0,0.8864665749172792,0.810777624862132,0.1070273198442212,0.8125,0.896551724137931,0.8125,0.9154929577464789,0.8967436755518142,0.7586206896551724,0.9898027553352008,0.5844155844155844,0.6949152542372881,0.6176470588235294,4,16,0.6756756756756757,0.22972972972972971,0.34459459459459457
1,3447768,3447857,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.,0.24817518248175185,0,0.888287129199538,0.8138118819992299,0.11067197522671979,0.7769784172661871,0.8744939271255061,0.7769784172661871,0.9818181818181818,0.8797659096258963,0.7530364372469636,0.9947966102385015,0.5373134328358209,0.7241379310344828,0.6347826086956522,4,9,0.6277372262773723,0.3065693430656934,0.3795620437956204
0,173848,173787,Hong Kong was flat  Australia   Singapore and South Korea lost 0.2-0.4 percent.,Australia was flat  Singapore was down 0.3 percent by midday and South Korea added 0.2 percent.,0.1578947368421053,0,0.7243060182100821,0.7243060182100821,0.26635766631769286,0.6730769230769231,0.8045977011494253,0.6730769230769231,0.8860759493670886,0.8080210813801191,0.5747126436781609,0.9832418069479827,0.5800000000000001,0.6923076923076923,0.5764705882352941,0,9,0.4631578947368421,0.4631578947368421,0.5578947368421052
1,1756397,1756332,Evidence suggests two of the victims were taken by surprise  while the other two might have tried to flee or to defend themselves or the others  police said.,Evidence suggests two victims were taken by surprise  while the others may have tried to flee or perhaps defend themselves or their friends  police said.,0.197452229299363,0,0.8880450350624055,0.8134083917706758,0.10892277767591652,0.834319526627219,0.9096774193548387,0.834319526627219,0.9215686274509803,0.9097531563809758,0.8774193548387097,0.9900846316528674,0.5920000000000001,0.8241758241758241,0.7543859649122807,22,15,0.8152866242038217,0.13375796178343946,0.18789808917197454
0,749900,749726,Ballmer has been vocal in the past warning that Linux is a threat to Microsoft.,In the memo  Ballmer reiterated the open-source threat to Microsoft.,0.07594936708860756,0,0.6808255885570356,0.6808255885570356,0.27975755319388984,0.5806451612903226,0.7346938775510204,0.5806451612903226,0.7941176470588235,0.7367595226341545,0.5306122448979592,0.9635080376376016,0.5060240963855422,0.6190476190476191,0.5205479452054795,0,21,0.430379746835443,0.4810126582278481,0.5759493670886076
1,501917,501968,A charter plane crashed in Turkey on Monday  killing all 75 people aboard  including 62 Spanish peacekeepers returning from Afghanistan  officials said.,A plane carrying 75 people  including 62 Spanish peacekeepers returning from Afghanistan  crashed in thick fog in Turkey early on Monday  killing all aboard  officials said.,0.06358381502890176,0,0.8383717675692121,0.7979647094615151,0.15517695974039136,0.8786127167630058,0.9353846153846154,0.8786127167630058,1.0,0.9373434358670283,0.64,0.9968294833162451,0.5782312925170068,0.8181818181818181,0.7272727272727273,2,17,0.32947976878612717,0.3988439306358381,0.6791907514450867
1,356718,356778,"Moroccan Interior Minister Al Mustapha Sahel said the investigation ""points to a group that has been arrested recently""  an apparent reference to Djihad Salafist.","Moroccan Interior Minister Al Mustapha Sahel told state-run 2M television late Saturday the investigation ""points to a group that has been arrested recently"" an apparent reference to Salafist Jihad.",0.2727272727272727,0,0.8922720258136924,0.820453376356154,0.10426487093153758,0.8,0.8888888888888888,0.8,0.9876543209876543,0.8933669468970774,0.8555555555555555,0.9938575799519828,0.5493827160493827,0.7798165137614679,0.7074829931972789,45,1,0.7373737373737373,0.2222222222222222,0.27525252525252525
1,1853823,1853477,She survives him as do their four children -- sons Anthony and Kelly  daughters Linda Hope and Nora Somers -- and four grandchildren.,Hope is survived by his wife  sons Anthony and Kelly  daughters Linda and Nora Somers  and four grandchildren.,0.06766917293233088,0,0.7638793954583428,0.7638793954583428,0.2194615612788403,0.7867647058823529,0.8806584362139918,0.7867647058823529,0.9727272727272728,0.8846299008723535,0.7901234567901234,0.9938870631318921,0.5603448275862069,0.7530864197530864,0.6574074074074074,0,24,0.7067669172932332,0.2556390977443609,0.3157894736842105
